# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeTotalNS,1772443818150000000,1772443823927000000,4744754434
NonBlockingReadAction.failedExecutionsCount,1772443818150000000,1772443823927000000,0
NonBlockingReadAction.failedExecutionTimeUs,1772443818150000000,1772443823927000000,0
NonBlockingReadAction.finalizedExecutionsCount,1772443818150000000,1772443823927000000,15
NonBlockingReadAction.finalizedExecutionTimeUs,1772443818150000000,1772443823927000000,187921
StorageLockContext.competingThreads.avg,1772443818150000000,1772443823927000000,0.6363636363636364
FilePageCache.pageHits,1772443818150000000,1772443823927000000,0
DirectByteBufferAllocator.reclaimed,1772443818150000000,1772443823927000000,46
FilePageCache.uncachedFileAccess,1772443818150000000,1772443823927000000,120
DirectByteBufferAllocator.hits,1772443818150000000,1772443823927000000,3
FilePageCache.capacityInBytes,1772443818150000000,1772443823927000000,524288000
FilePageCache.pageLoads,1772443818150000000,1772443823927000000,229
FilePageCache.maxRegisteredFiles,1772443818150000000,1772443823927000000,612
DirectByteBufferAllocator.disposed,1772443818150000000,1772443823927000000,183
StorageLockContext.competingThreads.max,1772443818150000000,1772443823927000000,7
FilePageCache.totalPageLoadsUs,1772443818150000000,1772443823927000000,145261
FilePageCache.totalPageDisposalsUs,1772443818150000000,1772443823927000000,2034
FilePageCache.pageLoadsAboveSizeThreshold,1772443818150000000,1772443823927000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772443818150000000,1772443823927000000,52445184
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772443818150000000,1772443823927000000,52445184
StorageLockContext.competingThreads.90P,1772443818150000000,1772443823927000000,0
DirectByteBufferAllocator.misses,1772443818150000000,1772443823927000000,226
FilePageCache.pageFastCacheHits,1772443818150000000,1772443823927000000,4502
FilePageCache.maxCacheSizeInBytes,1772443818150000000,1772443823927000000,244334592
FilePageCache.disposedBuffers,1772443818150000000,1772443823927000000,229
workspaceModel.replace.project.model.ms,1772443818150000000,1772443823927000000,0
workspaceModel.to.snapshot.ms,1772443818150000000,1772443823927000000,0
workspaceModel.loading.total.ms,1772443818150000000,1772443823927000000,13
workspaceModel.check.recursive.update.ms,1772443818150000000,1772443823927000000,0
workspaceModel.updates.count,1772443818150000000,1772443823927000000,0
workspaceModel.init.bridges.ms,1772443818150000000,1772443823927000000,0
workspaceModel.updates.ms,1772443818150000000,1772443823927000000,0
workspaceModel.initializing.ms,1772443818150000000,1772443823927000000,0
workspaceModel.collect.changes.ms,1772443818150000000,1772443823927000000,0
workspaceModel.loading.from.cache.ms,1772443818150000000,1772443823927000000,9
workspaceModel.pre.handlers.ms,1772443818150000000,1772443823927000000,0
workspaceModel.update.unloaded.entities.ms,1772443818150000000,1772443823927000000,0
workspaceModel.updates.precise.ms,1772443818150000000,1772443823927000000,0
FileNameCache.totalMisses,1772443818150000000,1772443823927000000,9
FileNameCache.queries,1772443818150000000,1772443823927000000,28
FileNameCache.fastMisses,1772443818150000000,1772443823927000000,10
workspaceModel.mutableEntityStorage.collect.changes.ms,1772443818150000000,1772443823927000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1772443818150000000,1772443823927000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1772443818150000000,1772443823927000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772443818150000000,1772443823927000000,0
workspaceModel.load.cache.from.file.ms,1772443818150000000,1772443823927000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1772443818150000000,1772443823927000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772443818150000000,1772443823927000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1772443818150000000,1772443823927000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1772443818150000000,1772443823927000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772443818150000000,1772443823927000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1772443818150000000,1772443823927000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772443818150000000,1772443823927000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772443818150000000,1772443823927000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772443818150000000,1772443823927000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772443818150000000,1772443823927000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772443818150000000,1772443823927000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772443818150000000,1772443823927000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772443818150000000,1772443823927000000,0
workspaceModel.mutableEntityStorage.entities.ms,1772443818150000000,1772443823927000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1772443818150000000,1772443823927000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772443818150000000,1772443823927000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772443818150000000,1772443823927000000,0
workspaceModel.save.cache.to.file.ms,1772443818150000000,1772443823927000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772443818150000000,1772443823927000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1772443818150000000,1772443823927000000,0
